Profiler Report

Total time: 23.6780 sec

Function                                 Calls
--------------------------------------------------
src/ui/screens/portal_screen.lua:_loadAssets 1
[C]:newShader                            2
[love "wrap_GraphicsShader.lua"]:isVertexCode 2
[love "wrap_GraphicsShader.lua"]:isPixelCode 2
[C]:getSupported                         2
[C]:isGammaCorrect                       2
[love "wrap_GraphicsShader.lua"]:getLanguageTarget 4
[love "wrap_GraphicsShader.lua"]:createShaderStageCode 2
[C]:upper                                2
[C]:createShaderStageCode                2
src/ui/screens/portal_screen.lua:_calculateModalLayout 1
src/ui/screens/guild_screen.lua:new      1
src/managers/enemy_manager.lua:selectEnemyFromList 40
src/managers/enemy_manager.lua:spawnSpecificEnemy 40
src/managers/floating_text_manager.lua:draw 453
src/managers/chunk_manager.lua:tablelength 377
src/ui/level_up_modal.lua:draw           453
src/ui/rune_choice_modal.lua:draw        453
src/ui/item_details_modal.lua:draw       453
src/ui/hud.lua:draw                      453
src/animations/animated_skeleton.lua:newConfig 40
src/ui/boss_health_bar.lua:draw          453
src/managers/asset_manager.lua:getImage  2060594
src/ui/ui_elements.lua:drawResourceBar   453
[C]:add                                  287857
[C]:getCount                             452
[C]:getFont                              453
src/ui/hud.lua:formatTime                453
[C]:formatTime                           453
src/managers/enemy_manager.lua:drawFunction 2719
src/ui/hud.lua:drawPlayerStatus          1359
src/ui/ui_elements.lua:drawWindowFrame   453
src/classes/enemies/base_enemy.lua:drawFloatingTexts 2719
src/abilities/player/attacks/chain_lightning.lua:getPreview 453
src/core/bootstrap.lua:initialize        1
src/managers/enemy_manager.lua:getEnemies 453
src/managers/hunter_manager.lua:getActiveHunterId 2
[C]:getDimensions                        2063366
src/ui/components/Button.lua:new         2
src/ui/components/Component.lua:new      2
src/ui/components/Component.lua:parseSpacing 4
src/scenes/gameplay_scene.lua:update     452
src/managers/inventory_manager.lua:new   1
src/managers/input_manager.lua:update    1356
[C]:isDown                               11848
src/managers/inventory_manager.lua:init  1
src/managers/player_manager.lua:update   452
[builtin:remove]:remove                  367
src/managers/player_manager.lua:tryShowLevelUpModal 452
[C]:random                               13586
src/managers/input_manager.lua:getTargetPosition 452
src/managers/lobby_portal_manager.lua:screenToMapCoords 1
[C]:min                                  7404
[C]:atan2                                8094
src/abilities/player/attacks/chain_lightning.lua:update 452
src/managers/player_manager.lua:updateHealthRecovery 452
src/managers/player_manager.lua:updateAutoAttack 452
src/animations/sprite_player.lua:update  452
[C]:abs                                  452
src/animations/sprite_player.lua:getDirectionFromAngle 452
[builtin:deg]:deg                        493
src/animations/sprite_player.lua:getAngleBoundsForDirection 41
src/config/camera.lua:follow             452
src/managers/enemy_manager.lua:update    452
src/core/persistence_manager.lua:saveData 4
src/core/persistence_manager.lua:serializeValue 144
[C]:serializeValue                       113
src/libs/profiler.lua:stop               1
[C]:clock                                1
src/libs/lovebird.lua:print              1866
[C]:oldprint                             933
[C]:select                               1883
[C]:concat                               1901
src/libs/lovebird.lua:pushline           565
[C]:time                                 935
src/animations/sprite_player.lua:newConfig 1
src/libs/lovebird.lua:fn                 8752
[C]:date                                 166700
src/core/scene_manager.lua:keyreleased   3
src/scenes/gameplay_scene.lua:keyreleased 3
src/managers/input_manager.lua:keyreleased 3
src/entities/floating_text.lua:update    14
src/managers/lobby_storage_manager.lua:saveStorage 1
src/core/scene_manager.lua:mousepressed  2
src/scenes/lobby_scene.lua:mousepressed  2
src/ui/screens/portal_screen.lua:handleMousePress 2
src/ui/ui_elements.lua:drawButton        124
[C]:floor                                8737
[C]:require                              1267
[C]:newImage                             3
src/managers/item_data_manager.lua:new   1
[C]:setmetatable                         666
src/core/scene_manager.lua:mousereleased 2
src/scenes/lobby_scene.lua:mousereleased 1
src/managers/drop_manager.lua:init       1
src/managers/player_manager.lua:setupGameplay 1
src/managers/hunter_manager.lua:getEquippedItems 4
src/managers/hunter_manager.lua:getHunterFinalStats 2
[C]:conn                                 501
src/abilities/player/attacks/chain_lightning.lua:new 1
src/entities/player_state.lua:new        1
src/managers/loadout_manager.lua:loadState 1
[C]:fn                                   37525
src/entities/floating_text.lua:draw      7
src/managers/hunter_manager.lua:getActiveHunterFinalStats 2
src/animations/animated_skeleton.lua:draw 2719
src/managers/archetype_manager.lua:getArchetypeData 48
src/classes/enemies/base_enemy.lua:draw  2719
src/classes/enemies/skeleton.lua:draw    2719
src/managers/loadout_manager.lua:saveState 1
[C]:type                                 22499
[C]:pairs                                7236
src/scenes/lobby_scene.lua:unload        1
[C]:newSpriteBatch                       1
src/managers/chunk_manager.lua:getTile   2011136
src/ui/screens/portal_screen.lua:unload  1
src/ui/item_details_modal.lua:update     452
src/managers/manager_registry.lua:update 452
[C]:release                              1
src/mapthemes/forest.lua:generateDecorations 136
src/managers/lobby_portal_manager.lua:saveState 1
src/classes/enemies/skeleton.lua:update  7190
src/animations/animated_skeleton.lua:update 7190
src/animations/animated_skeleton.lua:getDirectionFromAngle 7190
[C]:sqrt                                 22726
src/classes/enemies/base_enemy.lua:update 7190
src/managers/chunk_manager.lua:new       136
[C]:loadstring                           3
src/classes/enemies/base_enemy.lua:checkPlayerCollision 7190
src/classes/enemies/base_enemy.lua:getCollisionPosition 9909
src/classes/enemies/base_enemy.lua:updateFloatingTexts 7190
src/managers/enemy_manager.lua:updateBossHealthBarVisibility 452
src/managers/chunk_manager.lua:_generateChunkData 136
src/ui/boss_health_bar.lua:hide          452
src/managers/chunk_manager.lua:loadChunk 136
src/managers/experience_orb_manager.lua:update 452
src/managers/chunk_manager.lua:_getChunkKey 59044
src/managers/hunter_manager.lua:saveState 1
src/managers/chunk_manager.lua:update    452
src/animations/animated_character.lua:load 2
src/managers/drop_manager.lua:applyDrop  1
src/items/weapons/chain_laser.lua:new    1
src/items/weapons/base_weapon.lua:new    1
src/ui/rune_choice_modal.lua:update      452
src/managers/player_manager.lua:addInventoryItem 1
src/ui/fonts.lua:load                    1
src/managers/rune_manager.lua:update     452
src/managers/inventory_manager.lua:addItem 1
src/managers/inventory_manager.lua:_getItemBaseData 1
src/managers/floating_text_manager.lua:update 33
[C]:getInfo                              7
[C]:newFont                              18
[C]:setFont                              8962
[C]:setDefaultFilter                     1
[C]:setKeyRepeat                         1
src/core/scene_manager.lua:switchScene   4
[C]:format                               7855
src/core/item_grid_logic.lua:findFreeSpace 1
src/managers/player_manager.lua:addFloatingText 1
[C]:print                                7096
src/core/item_grid_logic.lua:markGridOccupied 1
[C]:pcall                                329
src/managers/inventory_manager.lua:_getNextInstanceId 1
src/core/item_grid_logic.lua:isAreaFree  1
src/entities/floating_text.lua:new       1
[C]:accept                               1000
[C]:isActive                             765
[C]:origin                               765
[C]:getBackgroundColor                   765
[C]:clear                                1669
main.lua:draw                            765
src/core/scene_manager.lua:draw          294
src/scenes/bootloader_scene.lua:draw     92
[C]:getWidth                             8935
[C]:getHeight                            9058
[C]:setColor                             37225
[C]:rectangle                            10138
[C]:draw                                 16176
[C]:printf                               2369
[C]:getFPS                               765
src/entities/drop_entity.lua:update      1
[C]:present                              765
[C]:sleep                                765
src/libs/lovebird.lua:checkwhitelist     235
src/ui/tooltip_manager.lua:draw          190
src/managers/drop_manager.lua:update     452
[C]:match                                4430
src/managers/manager_registry.lua:register 13
src/managers/archetype_manager.lua:new   1
src/ui/screens/portal_screen.lua:update  189
src/managers/lobby_storage_manager.lua:new 1
src/managers/lobby_storage_manager.lua:loadStorage 1
src/managers/lobby_portal_manager.lua:update 189
src/ui/tooltip_manager.lua:update        189
src/managers/player_manager.lua:getCollisionPosition 14380
src/items/weapons/chain_laser.lua:equip  1
[C]:new                                  40
src/core/persistence_manager.lua:deserializeString 3
src/classes/enemies/base_enemy.lua:new   40
[C]:load                                 3
src/classes/enemies/skeleton.lua:new     40
src/config/camera.lua:screenToWorld      452
[C]:tonumber                             60591
src/managers/lobby_storage_manager.lua:_createEmptySection 1
